,Book Author,Book Owner,Book Title,Publication Year
305,albert boekholt,ernest hemingway,Tours de mains: travaux manuels pour les jeunes,1943
306,pio baroja y nessi,ernest hemingway,"La decadence de la cortesia, y otros ensayos",1956
307,ethel boileau,ernest hemingway,Clansmen,1936
308,pio baroja y nessi,ernest hemingway,Locuras de Carnaval,1937
309,l. de boisset,ernest hemingway,Les mouches du pêcheur de truites,1939
310,l. de boisset,ernest hemingway,"L'ombre, poisson de sport",1941
311,l. de boisset,ernest hemingway,"La truite, poisson de grand sport",1942
312,l. de boisset,ernest hemingway,"La pêche fluviale en France: son état, son avenir",1944
313,pio baroja y nessi,ernest hemingway,The lord of Labraz,1926
314,pio baroja y nessi,ernest hemingway,Memorias,1955
315,paul darcy boles,ernest hemingway,The streak,1954
316,pio baroja y nessi,ernest hemingway,El país vasco,1953
317,pio baroja y nessi,ernest hemingway,Red dawn,1924
318,stanley wade baron,ernest hemingway,"All my enemies, a novel",1952
319,alfred hamilton barr,ernest hemingway,Picasso: fifty years of his art,1946
320,james barr,ernest hemingway,Quatrefoil : a modern novel,1950
321,william edmund barrett,ernest hemingway,The left hand of God,1953
322,joseph michaël thomas barretto de souza,ernest hemingway,Elementary equitation; principles of horseback-riding,1922
323,luis bollain,ernest hemingway,El decálogo de la buena fiesta,1953
324,eduardo barriobero y herrán,ernest hemingway,"El libro de la fiesta nacional: preceptiva, cronistas, censores",1931
325,luis bollaín,ernest hemingway,"Los genios, de cerca: Belmonte, visto por un belmontista",1957
326,harlan harland barrows,ernest hemingway,Geography: Europe and Asia,1933
327,nathaniel a. barrows,ernest hemingway,Blow all ballast! The story of the Squalus,1940
328,diana barrymore,ernest hemingway,"Too much, too soon",1958
329,alain bombard,ernest hemingway,The Bombard story,1953
330,a. bonazzi,ernest hemingway,Observaciones sobre el rocío en la zona tropical,1947
331,charles boner,ernest hemingway,Chamois hunting in the mountains of Bavaria and in the Tyrol,1860
332,john bartlett,ernest hemingway,"Familiar Quotations: A Collection of Passages, Phrases, and Proverbs Traced to Their Sources in Ancient and Modern Lite",1940
333,vernon bartlett,ernest hemingway,Intermission in Europe; the life of a journalist and broadcaster,1938
334,donald richmond barton,ernest hemingway,Once in Aleppo,1955
335,jacques barzun,ernest hemingway,The house of intellect,1959
336,pedro de basaldúa,ernest hemingway,En España sale el sol,1946
337,william russell bascom,ernest hemingway,Handbook of West African art,1953
338,[n.auth],ernest hemingway,Baseball guide and record book,1944
339,hamilton basso,ernest hemingway,The view from Pompey's Head,1954
340,[n.auth],ernest hemingway,"La Bataille du Jutland, racontée par les combattants",1927
341,henry walter bates,ernest hemingway,"The naturalist on the river Amazons. A record of adventures, habits of animals, sketches of Brazilian and Indian life",1864
342,pierre bonnard,ernest hemingway,"Seize peintures, 1939-1943",1944
343,paul hyde bonner,ernest hemingway,Amanda,1957
344,paul hyde bonner,ernest hemingway,Excelsior!,1955
345,paul hyde bonner,ernest hemingway,The glorious mornings: stories of shooting and fishing,1954
346,paul hyde bonner,ernest hemingway,Hotel Talleyrand: a novel,1953
347,paul hyde bonner,ernest hemingway,SPQR: a romance,1952
348,stephen bonsal,ernest hemingway,"The fight for Santiago: the story of the soldier in the Cuban campaign, from Tampa to the surrender",1899
349,stephen bonsal,ernest hemingway,Unfinished business,1944
350,[n.auth],ernest hemingway,The book of common prayer and administration of the sacraments and other rites and ceremonies of the church according to,1935
351,national geographic society,ernest hemingway,"The book of fishes: game fishes, food fishes, shellfish and curious citizens of American ocean shores, lakes and rivers",1924
352,national geographic society,ernest hemingway,"The book of fishes: game fishes, food fishes, shellfish and curious citizens of American ocean shores, lakes and rivers",1924
353,[n.auth],ernest hemingway,The book of saints: a dictionary of servants of God canonized by the Catholic Church. Extracted from the Roman & other martyrologies,1921
354,[n.auth],ernest hemingway,The book of the XV Brigade,1938
355,charles gordon booth,ernest hemingway,The general died at dawn,1951
356,tancred borenius,ernest hemingway,Italian painting up to Leonardo and Raphael,1946
357,tancred borenius,ernest hemingway,"Later Italian painting, from Titian to Tiepolo",1946
358,giuseppe antonio borgese,ernest hemingway,Goliath: the march of fascism,1937
359,valerio borghese jr.,ernest hemingway,Decima flottiglia mas dalle origini all'armistizio,1954
360,george henry borrow,ernest hemingway,The Bible in Spain,1923
361,francesco borsetta,ernest hemingway,Per curarsi con le erbe: insegna l'uso di 150 piante medicinali nella cura di 200 malattie,1954
362,henry borsook,ernest hemingway,Vitamins: what they are and how they can benefit you,1941
363,lauro de bosis,ernest hemingway,Icaro,1933
364,alain bosquet (ed.),ernest hemingway,Les vingt meilleures nouvelles françaises,1956
365,charles k. boston,ernest hemingway,The silver jackass,1941
