,Book Author,Book Owner,Publication Year
358,William P. McGivern,Ernest Hemingway,1957
359,William P. McGivern,Ernest Hemingway,1958
360,William P. McGivern,Ernest Hemingway,1959
361,William P. McGivern,Ernest Hemingway,1958
362,Joaquin Maria Machado de Assis,Ernest Hemingway,1955
363,Colin MacInnes,Ernest Hemingway,1959
364,Helen MacInnes,Ernest Hemingway,1955
365,Donald G. F. W. Macintyre,Ernest Hemingway,1957
366,Sir Compton Mackenzie,Ernest Hemingway,1957
367,Donald MacKenzie,Ernest Hemingway,1955
368,James David Horan,Ernest Hemingway,1959
369,Paul Horgan,Ernest Hemingway,1958
370,Richard Hough,Ernest Hemingway,1959
371,Richard Alexander Hough,Ernest Hemingway,1958
372,Geoffrey Household,Ernest Hemingway,1955
373,Robert West Howard,Ernest Hemingway,1957
374,Sir Fred Hoyle,Ernest Hemingway,1955
375,Richard Gibson Hubler,Ernest Hemingway,1958
376,Wolcott Gibbs,Ernest Hemingway,1958
377,James Martin Gillis,Ernest Hemingway,1956
378,Jean Giono,Ernest Hemingway,1958
379,Denis Mack Smith,Ernest Hemingway,1956
380,Cyril Winthrop Mackworth-Praed,Ernest Hemingway,1957
381,Alistair MacLean,Ernest Hemingway,1956
382,Fitzroy Maclean,Ernest Hemingway,1959
383,Fitzroy Maclean,Ernest Hemingway,1957
384,Hugh MacLennan,Ernest Hemingway,1959
385,Angus Macnab,Ernest Hemingway,1957
386,John McNulty,Ernest Hemingway,1957
387,Bryher,Ernest Hemingway,1958
388,Frederick Benjamin Gipson,Ernest Hemingway,1956
389,Frederick Benjamin Gipson,Ernest Hemingway,1958
390,José María Gironella,Ernest Hemingway,1955
391,Frederick Dilley [Luke Short] Glidden,Ernest Hemingway,1958
392,Frederick Dilley [Luke Short] Glidden,Ernest Hemingway,1958
393,Frederick Dilley [Luke Short] Glidden,Ernest Hemingway,1956
394,Frederick Dilley [Luke Short] Glidden,Ernest Hemingway,1956
395,Frederick Dilley [Luke Short] Glidden,Ernest Hemingway,1957
396,Frederick Dilley [Luke Short] Glidden,Ernest Hemingway,1957
397,Frederick Dilley [Luke Short] Glidden,Ernest Hemingway,1956
398,Frederick Dilley [Luke Short] Glidden,Ernest Hemingway,1956
399,Frederick Dilley [Luke Short] Glidden,Ernest Hemingway,1957
400,Frederick Dilley [Luke Short] Glidden,Ernest Hemingway,1958
401,Frederick Dilley [Luke Short] Glidden,Ernest Hemingway,1957
402,Frederick Dilley [Luke Short] Glidden,Ernest Hemingway,1955
403,Frederick Dilley [Luke Short] Glidden,Ernest Hemingway,1955
404,Frederick Dilley [Luke Short] Glidden (ed.),Ernest Hemingway,1958
405,Jonathan H. [Peter Dawson] Glidden,Ernest Hemingway,1955
406,Jonathan H. [Peter Dawson] Glidden,Ernest Hemingway,1957
407,Jonathan H. [Peter Dawson] Glidden,Ernest Hemingway,1957
408,Thomas Goethals,Ernest Hemingway,1955
409,Norman Mailer,Ernest Hemingway,1959
410,Norman Mailer,Ernest Hemingway,1955
411,René Maine,Ernest Hemingway,1957
412,Fred Majdalany,Ernest Hemingway,1957
413,Maria Maltoni,Ernest Hemingway,1959
414,Frederick Feikema Manfred,Ernest Hemingway,1956
415,Frederick Feikema Manfred,Ernest Hemingway,1958
416,Peggy Mann,Ernest Hemingway,1956
417,Thomas Mann,Ernest Hemingway,1956
418,Harold Louis Humes,Ernest Hemingway,1959
419,Daniel Pratt Mannix,Ernest Hemingway,1958
420,Harold Louis Humes,Ernest Hemingway,1958
421,Rolfe Humphries,Ernest Hemingway,1956
