,Book Author,Book Owner,Book Title,Publication Year
489,graham greene,ernest hemingway,Journey without maps,1936
490,harry james greenwall,ernest hemingway,I hate tomorrow: an autobiographical experiment in twenty-three chapters and a prologue,1939
491,jackson gregory,ernest hemingway,The emerald murder trap: the third case of Mr. Paul Savory,1934
492,helen hester colvill,ernest hemingway,In the footsteps of a saint and other sketches from Spain,1932
493,communist party,ernest hemingway,History of the Communist party of the Soviet union (Bolsheviks),1939
494,eugene v. connett,ernest hemingway,American big game fishing,1935
495,cyril connolly,ernest hemingway,Enemies of promise,1938
496,joseph conrad,ernest hemingway,Victory,1921
497,romer c. grey,ernest hemingway,Adventures of a deep-sea angler,1930
498,zane grey,ernest hemingway,An American angler in Australia,1937
499,zane grey,ernest hemingway,Tales of swordfish and tuna,1927
500,fannie cook,ernest hemingway,The hill grows steeper,1938
501,zane grey,ernest hemingway,Tales of Tahitian waters,1931
502,margaret c. anderson,ernest hemingway,My thirty years' war; an autobiography,1930
503,sherwood anderson,ernest hemingway,Beyond desire,1932
504,sherwood anderson,ernest hemingway,Nearer the grass roots,1929
505,pierre andrieu,ernest hemingway,A l'écoute devant Verdun,1938
506,gudari [pseud.],ernest hemingway,Por la libertad vasca,1933
507,philip guedalla,ernest hemingway,The hundred days,1934
508,philip guedalla,ernest hemingway,The second empire,1923
509,[n.auth],ernest hemingway,Le Guide gastronomique de la France,1939
510,guides bleus,ernest hemingway,Espagne,1927
511,guides bleus,ernest hemingway,France automobile en un volume,1938
512,guides bleus,ernest hemingway,"Vosages, Lorraine, Alsace",1922
513,guides michelin,ernest hemingway,France,1929
514,guides de pneu michelin,ernest hemingway,France,1939
515,guides de pneu michelin,ernest hemingway,France,1938
516,guides taride,ernest hemingway,"Environs de Paris pour automobiles, motocyclistes et cyclistes.",1937
517,robert guinot,ernest hemingway,La chasse: Les armes; les chiens; les gibiers de plaine et de montagne; la sauvagine; le gros gibier; les animaux nuisib,1939
518,ramón guirao (ed.),ernest hemingway,"Orbita de la poesía afrocubana, 1928-37",1938
519,john gunther,ernest hemingway,Inside Asia,1939
520,john gunther,ernest hemingway,Inside Europe,1936
521,james cook,ernest hemingway,Captain Cook's voyages of discovery,1925
522,calvin coolidge,ernest hemingway,The autobiography of Calvin Coolidge,1929
523,eric cooper,ernest hemingway,Sea fishing,1934
524,charles townsend copeland,ernest hemingway,The Copeland reader; an anthology of poetry and prose,1935
525,rafael cordonié,ernest hemingway,Madrid bajo el marxismo : estampas,1939
526,mathieu corman,ernest hemingway,Salud camorada! Cinq mois sur les fronts d'Espagne,1937
527,stephen lucius gwynn,ernest hemingway,The happy fisherman,1936
528,edith [leyla georgie] györgy,ernest hemingway,The establishment of Madame Antonia,1938
529,francis hackett,ernest hemingway,Henry the Eighth,1929
530,peter herman hagboldt,ernest hemingway,Building the German vocabulary,1933
531,peter herman hagboldt,ernest hemingway,Deutsch für anfänger: an inductive presentation of minimum essentials,1930
532,lucretia peabody hale,ernest hemingway,The Peterkin papers,1924
533,radclyffe hall,ernest hemingway,The well of loneliness,1928
534,carl jakob herman hallendorff,ernest hemingway,History of Sweden,1938
535,simon christian hammer,ernest hemingway,Things seen in Norway: a description of the scenery of the country,1927
536,dashiell hammett,ernest hemingway,"$106,000 blood money",1927
537,arthur hammond,ernest hemingway,Helps for beginners,1938
538,c.s. hammond & company,ernest hemingway,Hammond's Pictorial ready reference atlas and gazetteer of the world,1938
539,martin ross,ernest hemingway,Music and James Joyce,1936
540,josé martín blázquez,ernest hemingway,Guerre civile totale,1938
541,alfred edward woodley mason,ernest hemingway,Königsmark,1939
542,francis van wyck mason,ernest hemingway,The Cairo garter murders,1939
543,gregory mason,ernest hemingway,Remember the Maine,1939
544,ferdinand schuyler mathews,ernest hemingway,Field book of American wild flowers,1929
545,louis matout,ernest hemingway,Nouvelle méthode de pêche pratique,1924
546,cecile hulse matschat,ernest hemingway,Suwannee river: strange green land,1938
547,herbert lionel matthews,ernest hemingway,Two wars and more to come,1938
548,w. somerset maugham,ernest hemingway,Ah King,1933
549,w. somerset maugham,ernest hemingway,East and west,1934
550,w. somerset maugham,ernest hemingway,The gentleman in the parlour: a record of a journey from Rangoon to Haiphong,1930
551,louis merwin hurd,ernest hemingway,Practical poultry-farming,1939
552,robert crisp hurley,ernest hemingway,Picturesque Hong Kong (British Crown Colony) and dependencies,1925
553,graham seton hutchison,ernest hemingway,"Machine guns, their history and tactical employment (being also a history of the machine gun corps, 1916-1922)",1938
554,w. somerset maugham,ernest hemingway,The narrow corner,1932
555,aldous huxley,ernest hemingway,"Music at night, and other essays",1931
556,aldous huxley,ernest hemingway,The olive tree,1937
557,w. somerset maugham,ernest hemingway,Rain: the story of Sadie Thompson,1921
558,aldous huxley,ernest hemingway,Those barren leaves,1925
559,w. somerset maugham,ernest hemingway,Six stories written in the first person singular,1931
560,w. somerset maugham (ed.),ernest hemingway,"Tellers of tales: 100 short stories from the United States, England, France, Russia and Germany",1939
561,w. somerset maugham,ernest hemingway,Traveller's library,1933
562,elspeth joscelin grant huxley,ernest hemingway,Murder on safari,1938
563,elspeth joscelin grant huxley,ernest hemingway,"Red strangers, a novel",1939
564,guy de maupassant,ernest hemingway,Une Vie,1925
565,guy de maupassant,ernest hemingway,The works of Guy de Maupassant,1923
566,james hanley,ernest hemingway,Boy: a novel,1932
567,james hanley,ernest hemingway,The Furys,1935
568,hutchins hapgood,ernest hemingway,A Victorian in the modern world,1939
569,tex harding,ernest hemingway,A la recherche de Fawcett (Verschollen: auf den spuren des obersten Fawcett),1934
570,thomas hardy,ernest hemingway,The short stories of Thomas Hardy,1928
571,[n.auth],ernest hemingway,Hardy's anglers' guide,1924
572,pierre harispe,ernest hemingway,Le Pays Basque: histoire - langue - civilisation,1929
573,frank harris,ernest hemingway,Bernard Shaw: an unauthorized biography based on first hand information,1931
574,charles yale harrison,ernest hemingway,Meet me on the barricades,1938
575,george harrison,ernest hemingway,The home market: a handbook of statistics,1939
576,henry hart,ernest hemingway,The great one: a novel of American life,1934
577,henry hersch hart,ernest hemingway,A Chinese market: lyrics from the Chinese in English verse,1931
578,bret harte,ernest hemingway,The luck of Roaring Camp: Californian tales and poems with other writings,1929
579,bret harte,ernest hemingway,The Luck of Roaring camp: Californian tales and poems with other writings,1929
580,paul harvey (ed.),ernest hemingway,The Oxford companion to English literature,1932
581,jaroslav ha_ek,ernest hemingway,The good soldier: Schweik,1930
582,jaroslav ha_ek,ernest hemingway,The good soldier: Schweik,1930
