,Book Author,Book Owner,Publication Year
400,Maurice Dennis Kavanagh,James Joyce,1881
401,Ernest Renan,James Joyce,1883
402,Edgar Allan Poe,James Joyce,1884
403,Epictetus,James Joyce,1880
404,Jonathan Swift,James Joyce,1889
405,George Gissing,James Joyce,1886
406,Joris-Karl Huysmans,James Joyce,1884
407,Jens Peter Jacobsen,James Joyce,1882
408,Rudyard Kipling,James Joyce,1888
409,Mikhail Yurevitch Lermontov,James Joyce,1886
410,Guy de Maupassant,James Joyce,1889
411,Henry S. Olcott,James Joyce,1886
412,Plutarch,James Joyce,1882
413,Laas D'Aguen,James Joyce,1886
414,Thomas Josephus Lamy,James Joyce,1884
415,Professor C. Witt,James Joyce,1883
416,Maria Edgeworth,James Joyce,1886
417,George Chittenden Benham,Gertrude Stein,1880
418,Louisa May Alcott,Gertrude Stein,1886
419,Frank Richard Stockton,Gertrude Stein,1886
420,James Fenimore Cooper,Gertrude Stein,1885
421,Ulysses S. Grant,Gertrude Stein,1886
422,Francis Bacon,Gertrude Stein,1885
423,William Makepeace Thackeray,Gertrude Stein,1884
424,Percy Bysshe Shelley,Gertrude Stein,1888
425,Charles Lamb,Gertrude Stein,1888
426,Giovanni Verga ,Edith Sitwell,1883
427,George Peele ,Edith Sitwell,1888
428,William Dean Howells,Gertrude Stein,1883
429,William Dean Howells,Gertrude Stein,1886
430,Charles Darwin,Gertrude Stein,1889
431,George Eliot,Gertrude Stein,1887
432,George Eliot,Gertrude Stein,1887
433,George Eliot,Gertrude Stein,1887
434,George Eliot,Gertrude Stein,1887
435,George Eliot,Gertrude Stein,1887
436,George Eliot,Gertrude Stein,1887
437,Oliver Goldsmith,Gertrude Stein,1886
438,Oliver Goldsmith,Gertrude Stein,1889
439,Thomas De Quincey,Gertrude Stein,1885
440,Charles E. Craddock,Gertrude Stein,1884
441,Daniel Defoe,Gertrude Stein,1882
442,Alfred de Musset,Edna St. Vincent Millay,1881
443,John Donne,Edna St. Vincent Millay,1884
444,John Greenleaf Whittier,Edna St. Vincent Millay,1887
445,William Graham Sumner,Edna St. Vincent Millay,1883
446,Edna St Vincent Millay,Edna St. Vincent Millay,1881
447,Jean Cocteau,Edna St. Vincent Millay,1884
448,Angela Manalang Gloria,Edna St. Vincent Millay,1889
449,A. Vine [Arthur Vine] Hall,Edna St. Vincent Millay,1886
450,William Shakespeare,Edna St. Vincent Millay,1883
451,Charles Erskine Scott Wood,Edna St. Vincent Millay,1888
452,Jean Ingelow,Gertrude Stein,1881
453,Asa Gray,Gertrude Stein,1889
454,Pu Songling,Gertrude Stein,1880
455,Edmund Burke,Gertrude Stein,1887
456,Lucian,Gertrude Stein,1887
457,Robert Burns,Gertrude Stein,1887
458,Anna Letitia Le Breton,Gertrude Stein,1884
459,Edward P. Roe,Gertrude Stein,1884
460,Charles Rowcroft,Gertrude Stein,1887
461,Frank Moore,Gertrude Stein,1889
462,Euripides,Gertrude Stein,1888
463,Constance Fenimore Woolson,Gertrude Stein,1889
464,William Dean Howells,Gertrude Stein,1883
465,Anthony Trollope,Gertrude Stein,1882
