,Book Author,Book Owner,Publication Year
85,American Automobile Association,Ernest Hemingway,1947
86,Brooks Van Wyck,Ernest Hemingway,1927
87,Nelson Algren,Ernest Hemingway,1951
88,Nelson Algren,Ernest Hemingway,1949
89,Nelson Algren,Ernest Hemingway,1960
90,Nelson Algren,Ernest Hemingway,1947
91,Nelson Algren,Ernest Hemingway,1942
92,Nelson Algren,Ernest Hemingway,1956
93,American Kennel Club,Ernest Hemingway,1935
94,Ted Allan,Ernest Hemingway,1939
95,American Museum of Natural History. New York City.,Ernest Hemingway,1945
96,Ted Allan,Ernest Hemingway,1952
97,Ethan Allen,Ernest Hemingway,1940
98,Frederick Lewis Allen,Ernest Hemingway,1952
99,Frederick Lewis Allen,Ernest Hemingway,1949
100,Henry Allen,Ernest Hemingway,1957
101,Henry Allen,Ernest Hemingway,1954
102,Henry Allen,Ernest Hemingway,1956
103,Herbert Warner Allen,Ernest Hemingway,1924
104,Hervey Allen,Ernest Hemingway,1949
105,Hervey Allen,Ernest Hemingway,1953
106,Jerry Allen,Ernest Hemingway,1954
107,Robert S. Allen,Ernest Hemingway,1950
108,Robert Sharon Allen (ed.),Ernest Hemingway,1950
109,Walter Ernest Allen,Ernest Hemingway,1955
110,[N.auth],Ernest Hemingway,1959
111,American Museum of Natural History. New York City.,Ernest Hemingway,1956
112,American Museum of Natural History. New York City.,Ernest Hemingway,1956
113,Francesca Raimonde La Monte,Ernest Hemingway,1958
114,Cleveland Amory,Ernest Hemingway,1952
115,Cleveland Amory,Ernest Hemingway,1947
116,Cleveland Amory,Ernest Hemingway,1960
117,Karl Baedeker (Firm),Ernest Hemingway,1909
118,Alfred Andersch,Ernest Hemingway,1958
119,Karl Baedeker,Ernest Hemingway,1913
120,Henry Philip Bernard Baerlein,Ernest Hemingway,1934
121,Hans Christian Andersen,Ernest Hemingway,1942
122,Hans Christian Andersen,Ernest Hemingway,1930
123,Hans Christian Andersen,Ernest Hemingway,1954
124,Ventura Bagüés,Ernest Hemingway,1948
125,Ventura Bagüés,Ernest Hemingway,1928
126,Jerome Bahr,Ernest Hemingway,1957
127,Jerome Bahr,Ernest Hemingway,1939
128,Ambrose Bierce,Ernest Hemingway,1946
129,Ambrose Bierce,Ernest Hemingway,1943
130,[N.auth],Ernest Hemingway,1946
131,Francis Hill Bigelow,Ernest Hemingway,1941
132,Henry Christopher Bailey,Ernest Hemingway,1942
133,Earl Derr Biggers,Ernest Hemingway,1929
134,Eileen Bigland,Ernest Hemingway,1940
135,Henry Christopher Bailey,Ernest Hemingway,1941
136,Francesco Bigliazzi,Ernest Hemingway,1949
137,Fernand Biguet,Ernest Hemingway,1929
138,Henry Christopher Bailey,Ernest Hemingway,1944
139,Henry Christopher Bailey,Ernest Hemingway,1938
140,Fernand Biguet,Ernest Hemingway,1935
141,Ray Allen Billington,Ernest Hemingway,1949
142,André Billy,Ernest Hemingway,1944
143,John Bainbridge,Ernest Hemingway,1955
144,John Edwin Bakeless,Ernest Hemingway,1939
145,Carlos Heard Baker,Ernest Hemingway,1958
146,James K. Binder,Ernest Hemingway,1951
147,Carlos Heard Baker,Ernest Hemingway,1961
148,Archie Binns,Ernest Hemingway,1940
149,André Birabeau,Ernest Hemingway,1930
150,Carlos Heard Baker,Ernest Hemingway,1954
151,Carlos Heard Baker,Ernest Hemingway,1952
152,Charles Henry Baker,Ernest Hemingway,1959
153,Charles Henry Baker,Ernest Hemingway,1939
154,Charles Henry Baker,Ernest Hemingway,1946
155,[N.auth],Ernest Hemingway,1899
156,Baron Christopher Bromhead Birdwood,Ernest Hemingway,1953
157,Clyde Baker,Ernest Hemingway,1933
158,Edward Mayer Baker,Ernest Hemingway,1958
159,George Baker,Ernest Hemingway,1956
160,Ray Stannard Baker,Ernest Hemingway,1945
161,Samuel White Baker,Ernest Hemingway,1874
162,Samuel White Baker,Ernest Hemingway,1867
163,Samuel White Baker,Ernest Hemingway,1875
164,Samuel White Baker,Ernest Hemingway,1890
165,Samuel White Baker,Ernest Hemingway,1891
166,Sherman Baker,Ernest Hemingway,1955
167,Charles Montague Bakewell,Ernest Hemingway,1920
168,Glenn Balch,Ernest Hemingway,1939
169,William Balck,Ernest Hemingway,1948
170,Hanson Weightman Baldwin,Ernest Hemingway,1948
171,Hanson Weightman Baldwin,Ernest Hemingway,1955
172,Hanson Weightman Baldwin,Ernest Hemingway,1941
173,William Charles Baldwin,Ernest Hemingway,1863
174,Doris Bell Ball,Ernest Hemingway,1955
175,James Ballard,Ernest Hemingway,1950
176,Maturin Murray Ballou,Ernest Hemingway,1854
177,Consuelo Vanderbilt Balsan,Ernest Hemingway,1953
178,Honoré de Balzac,Ernest Hemingway,1950
179,Honoré de Balzac,Ernest Hemingway,1891
180,Honoré de Balzac,Ernest Hemingway,1891
181,Carel Birkby,Ernest Hemingway,1942
182,Carel Birkby,Ernest Hemingway,1954
183,Hoffman Birney,Ernest Hemingway,1956
184,Honoré de Balzac,Ernest Hemingway,1891
185,Louis Edward Bisch,Ernest Hemingway,1936
186,Honoré de Balzac,Ernest Hemingway,1891
187,Honoré de Balzac,Ernest Hemingway,1891
188,Honoré de Balzac,Ernest Hemingway,1891
189,Elizabeth Bishop,Ernest Hemingway,1946
190,Honoré de Balzac,Ernest Hemingway,1891
191,Herman Bishop,Ernest Hemingway,1942
192,Honoré de Balzac,Ernest Hemingway,1891
193,Honoré de Balzac,Ernest Hemingway,1891
